"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","02 Apr 2025","23192.6","23350","23158.45","23332.35"
"NIFTY 50","01 Apr 2025","23341.1","23565.15","23136.4","23165.70"
"NIFTY 50","28 Mar 2025","23600.4","23649.2","23450.2","23519.35"
"NIFTY 50","27 Mar 2025","23433.95","23646.45","23412.2","23591.95"
"NIFTY 50","26 Mar 2025","23700.95","23736.5","23451.7","23486.85"
"NIFTY 50","25 Mar 2025","23751.5","23869.6","23601.4","23668.65"
"NIFTY 50","24 Mar 2025","23515.4","23708.75","23433.5","23658.35"
"NIFTY 50","21 Mar 2025","23168.25","23402.7","23132.8","23350.40"
"NIFTY 50","20 Mar 2025","23036.6","23216.7","22973.95","23190.65"
"NIFTY 50","19 Mar 2025","22874.95","22940.7","22807.95","22907.60"
"NIFTY 50","18 Mar 2025","22662.25","22857.8","22599.2","22834.30"
"NIFTY 50","17 Mar 2025","22353.15","22577","22353.15","22508.75"
"NIFTY 50","13 Mar 2025","22541.5","22558.05","22377.35","22397.20"
"NIFTY 50","12 Mar 2025","22536.35","22577.4","22329.55","22470.50"
"NIFTY 50","11 Mar 2025","22345.95","22522.1","22314.7","22497.90"
"NIFTY 50","10 Mar 2025","22521.85","22676.75","22429.05","22460.30"
"NIFTY 50","07 Mar 2025","22508.65","22633.8","22464.75","22552.50"
"NIFTY 50","06 Mar 2025","22476.35","22556.45","22245.85","22544.70"
"NIFTY 50","05 Mar 2025","22073.05","22394.9","22067.8","22337.30"
"NIFTY 50","04 Mar 2025","21974.45","22105.05","21964.6","22082.65"
"NIFTY 50","03 Mar 2025","22194.55","22261.55","22004.7","22119.30"
"NIFTY 100","02 Apr 2025","23742.75","23919.6","23683.9","23901.85"
"NIFTY 100","01 Apr 2025","23902.3","24110.6","23684.3","23713.80"
"NIFTY 100","28 Mar 2025","24154.15","24220.75","23992.8","24057.35"
"NIFTY 100","27 Mar 2025","23934.9","24194.75","23919.4","24145.05"
"NIFTY 100","26 Mar 2025","24188.3","24246","23958.95","23990.40"
"NIFTY 100","25 Mar 2025","24326","24409.75","24097.15","24159.90"
"NIFTY 100","24 Mar 2025","24075.9","24266.95","23989.8","24214.20"
"NIFTY 100","21 Mar 2025","23712.5","23958.55","23681.75","23902.10"
"NIFTY 100","20 Mar 2025","23605.3","23758.2","23509.85","23730.70"
"NIFTY 100","19 Mar 2025","23390.4","23503.25","23321.55","23468.35"
"NIFTY 100","18 Mar 2025","23116.15","23365.05","23055.95","23340.40"
"NIFTY 100","17 Mar 2025","22806.15","23029.35","22806.15","22960.80"
"NIFTY 100","13 Mar 2025","23002.65","23030.45","22817","22837.85"
"NIFTY 100","12 Mar 2025","22990.5","23039","22755.75","22919.90"
"NIFTY 100","11 Mar 2025","22752.6","22973.6","22714.8","22942.70"
"NIFTY 100","10 Mar 2025","23005.1","23155.25","22861.65","22890.75"
"NIFTY 100","07 Mar 2025","23008.35","23127.3","22956.35","23027.70"
"NIFTY 100","06 Mar 2025","22982.55","23053.95","22775.35","23038.80"
"NIFTY 100","05 Mar 2025","22495.25","22861.45","22493.95","22818.80"
"NIFTY 100","04 Mar 2025","22357.75","22535.45","22324.05","22504.90"
"NIFTY 100","03 Mar 2025","22551.65","22635.3","22327.95","22514.20"
"NIFTY BANK","02 Apr 2025","50966.9","51404.2","50908.35","51348.05"
"NIFTY BANK","01 Apr 2025","51178.15","51683.85","50742","50827.50"
"NIFTY BANK","28 Mar 2025","51608.4","51839.1","51335.35","51564.85"
"NIFTY BANK","27 Mar 2025","51084.7","51714.35","51050.85","51575.85"
"NIFTY BANK","26 Mar 2025","51640.05","51875.8","51069.15","51209.00"
"NIFTY BANK","25 Mar 2025","51874.2","52063.95","51429.6","51607.95"
"NIFTY BANK","24 Mar 2025","50982.7","51801.15","50795.9","51704.95"
"NIFTY BANK","21 Mar 2025","49927.1","50672.15","49891.95","50593.55"
"NIFTY BANK","20 Mar 2025","49947.6","50155.3","49771.65","50062.85"
"NIFTY BANK","19 Mar 2025","49375.4","49807.55","49324.8","49702.60"
"NIFTY BANK","18 Mar 2025","48792.9","49400.3","48629.45","49314.50"
"NIFTY BANK","17 Mar 2025","48219.55","48481.35","48196.1","48354.15"
"NIFTY BANK","13 Mar 2025","48219.15","48352.45","48006.1","48060.40"
"NIFTY BANK","12 Mar 2025","47894.4","48222.15","47844.95","48056.65"
"NIFTY BANK","11 Mar 2025","47874.8","48029.05","47702.9","47853.95"
"NIFTY BANK","10 Mar 2025","48312","48599.15","48124.65","48216.80"
"NIFTY BANK","07 Mar 2025","48463.8","48709.05","48359.35","48497.50"
"NIFTY BANK","06 Mar 2025","48760","48839.1","48299.4","48627.70"
"NIFTY BANK","05 Mar 2025","48241.3","48657.65","48190.25","48489.95"
"NIFTY BANK","04 Mar 2025","47942.5","48374.9","47924.75","48245.20"
"NIFTY BANK","03 Mar 2025","48478.6","48574.7","47841.3","48114.30"